"resultid","resultmonth","winnerid","loserid","winnerset1","winnerset2","winnerset3","winnerset4","winnerset5","loserset1","loserset2","loserset3","loserset4","loserset5"
1,"2019-05",57529,3765,7,7,0,0,0,6,5,0,0,0
2,"2019-03",83218,3871,6,6,0,0,0,4,2,0,0,0
4,"2019-11",4021,4487,7,5,7,0,0,5,7,5,0,0
5,"2019-10",1984892,411593,6,6,0,0,0,3,3,0,0,0
7,"2019-09",52294,224678,6,6,0,0,0,3,2,0,0,0
10,"2019-09",11558,11035,3,6,7,0,0,6,1,6,0,0
11,"2019-10",51547,1609088,6,6,0,0,0,0,3,0,0,0
12,"2019-05",1940917,4073,6,6,6,0,0,4,7,4,0,0
14,"2019-03",3832,207438,6,6,0,0,0,4,3,0,0,0
15,"2019-11",1399808,2089548,6,6,0,0,0,2,2,0,0,0
17,"2019-08",10352,2595933,6,6,0,0,0,3,0,0,0,0
21,"2019-10",1945656,54883,6,5,6,0,0,1,7,1,0,0
22,"2019-03",10283,259658,6,6,0,0,0,2,3,0,0,0
23,"2019-10",51288,51322,6,6,0,0,0,2,4,0,0,0
24,"2019-08",81226,4464,6,6,0,0,0,3,4,0,0,0
25,"2019-08",3993,206806,7,6,6,0,0,6,4,3,0,0
28,"2019-08",802298,51288,4,6,6,0,0,6,2,4,0,0
29,"2019-08",4193,224142,7,7,0,6,0,5,5,6,3,0
30,"2019-10",2554103,28990,6,6,0,0,0,2,4,0,0,0
31,"2019-09",10839,74682,6,6,0,0,0,2,2,0,0,0
32,"2019-09",3460,77968,4,7,7,0,0,6,5,6,0,0
34,"2019-01",10281,10267,4,6,6,0,0,6,2,3,0,0
35,"2019-11",1394186,114367,6,6,0,0,0,4,2,0,0,0
36,"2019-09",85223,10839,6,6,0,0,0,4,2,0,0,0
37,"2019-11",56114,49954,7,6,0,0,0,6,3,0,0,0
38,"2019-09",198546,3654,1,6,6,0,0,6,3,4,0,0
39,"2019-01",3927,224142,7,6,0,0,0,6,2,0,0,0
41,"2019-07",2596786,1607539,6,6,0,0,0,3,3,0,0,0
42,"2019-08",65230,54113,6,6,0,0,0,4,1,0,0,0
43,"2019-10",65230,3785,6,4,6,0,0,2,6,0,0,0
44,"2019-10",3460,70414,7,7,0,0,0,5,5,0,0,0
45,"2019-09",3466,51288,6,3,6,0,0,4,6,4,0,0
48,"2019-09",3993,3569,6,6,6,0,0,1,2,2,0,0
49,"2019-09",52341,3967,6,6,0,0,0,3,3,0,0,0
50,"2019-09",11140,55200,6,6,0,0,0,2,2,0,0,0
51,"2019-01",224142,2516571,7,0,7,0,0,6,6,5,0,0
54,"2019-10",28097,70784,7,6,0,0,0,6,1,0,0,0
55,"2019-10",3498,4686,2,6,7,0,0,6,4,6,0,0
56,"2019-08",3468,3499,7,6,0,0,0,6,4,0,0,0
57,"2019-02",11134,10403,0,7,6,0,0,6,6,4,0,0
58,"2019-01",235621,177312,6,6,4,6,0,1,3,6,0,0
59,"2019-08",765205,223621,6,0,6,0,0,3,6,1,0,0
60,"2019-02",203816,1517181,6,6,0,0,0,4,2,0,0,0
63,"2019-08",11076,10853,4,6,6,0,0,6,2,2,0,0
64,"2019-09",1607952,51322,0,6,6,0,0,6,2,1,0,0
65,"2019-10",51289,212742,7,6,0,0,0,6,3,0,0,0
66,"2019-02",167901,10346,6,6,7,0,0,4,7,5,0,0
67,"2019-07",27182,51259,7,6,0,0,0,5,3,0,0,0
68,"2019-03",92088,2231281,6,6,0,0,0,4,3,0,0,0
69,"2019-01",836822,2492783,6,6,0,0,0,3,4,0,0,0
70,"2019-02",3828,3481,7,6,0,0,0,6,2,0,0,0
72,"2019-09",42587,79636,6,6,0,0,0,4,2,0,0,0
73,"2019-02",10248,2606228,6,7,0,0,0,3,6,0,0,0
74,"2019-10",94283,60157,7,6,0,0,0,6,3,0,0,0
76,"2019-09",10788,1393071,6,4,7,0,0,4,6,5,0,0
78,"2019-02",3867,3608,7,3,6,0,0,6,6,2,0,0
80,"2019-07",4726,802298,6,6,0,0,0,2,3,0,0,0
81,"2019-02",94283,73237,6,6,0,0,0,4,2,0,0,0
84,"2019-07",1954751,2616432,6,4,6,0,0,3,6,3,0,0
85,"2019-08",51296,66480,7,6,0,0,0,5,4,0,0,0
86,"2019-01",10383,10319,6,7,0,0,0,2,6,0,0,0
87,"2019-03",260593,95161,3,6,6,0,0,6,1,2,0,0
88,"2019-09",206806,142094,7,6,0,0,0,6,3,0,0,0
89,"2019-10",11558,70649,6,6,6,0,0,3,7,3,0,0
90,"2019-08",11466,10259,7,7,0,0,0,5,5,0,0,0
91,"2019-11",51256,70622,6,5,6,0,0,3,7,4,0,0
94,"2019-11",3460,3806,6,6,0,0,0,4,4,0,0,0
96,"2019-12",79636,10317,6,6,0,0,0,4,1,0,0,0
97,"2019-10",3495,3701,4,6,6,0,0,6,3,4,0,0
99,"2019-10",3466,253923,6,7,6,0,0,7,6,3,0,0
100,"2019-01",10383,52345,1,6,6,0,0,6,3,0,0,0
101,"2019-02",3608,53840,6,6,6,0,0,4,7,2,0,0
102,"2019-11",79623,282461,6,6,0,0,0,3,1,0,0,0
103,"2019-03",3481,3474,7,7,0,0,0,6,6,0,0,0
104,"2019-12",1711967,1729135,7,6,0,0,0,6,2,0,0,0
106,"2019-09",4464,76531,7,6,0,0,0,6,4,0,0,0
109,"2019-08",10259,146056,6,6,0,0,0,3,2,0,0,0
110,"2019-07",1393213,3960,6,6,6,0,0,3,7,4,0,0
111,"2019-09",606930,217512,6,7,0,0,0,4,5,0,0,0
112,"2019-09",4690,1863628,4,6,6,0,0,6,2,3,0,0
113,"2019-11",10273,27373,5,7,6,0,0,7,5,2,0,0
114,"2019-09",77968,172172,6,6,0,0,0,1,2,0,0,0
116,"2019-10",57529,1945656,6,6,0,0,0,1,3,0,0,0
117,"2019-07",27182,51322,7,7,0,0,0,5,5,0,0,0
118,"2019-10",51256,1194009,6,6,0,0,0,4,4,0,0,0
121,"2019-10",28080,4128,6,6,0,0,0,1,1,0,0,0
125,"2019-07",54196,51222,6,3,7,0,0,4,6,6,0,0
126,"2019-08",3993,3718,6,6,6,0,0,7,3,3,0,0
130,"2019-06",1625971,71656,7,7,0,0,0,6,6,0,0,0
131,"2019-01",52345,28431,6,6,0,0,0,2,3,0,0,0
132,"2019-08",2594847,1374418,6,6,0,0,0,3,2,0,0,0
133,"2019-08",206796,73237,7,6,0,0,0,6,3,0,0,0
134,"2019-10",218163,3498,7,6,0,0,0,5,4,0,0,0
137,"2019-07",51794,1083703,7,6,0,0,0,6,3,0,0,0
140,"2019-08",606930,4508,6,6,0,0,0,3,2,0,0,0
141,"2019-05",373773,3534,6,6,0,0,0,1,3,0,0,0
143,"2019-03",2096652,10434,6,6,0,0,0,2,4,0,0,0
